11,24
12,24
13,24
10,23
11,23
12,23
10,22
11,22
9,21
10,21
9,20
10,20
9,19
10,19
8,18
9,18
10,18
8,17
9,17
16,17
17,17
18,17
19,17
20,17
21,17
8,16
9,16
15,16
16,16
17,16
18,16
19,16
20,16
21,16
22,16
8,15
9,15
14,15
15,15
16,15
17,15
21,15
22,15
7,14
8,14
12,14
13,14
14,14
15,14
21,14
22,14
7,13
8,13
12,13
13,13
14,13
21,13
22,13
7,12
8,12
11,12
12,12
13,12
21,12
22,12
7,11
8,11
11,11
12,11
13,11
21,11
22,11
7,10
8,10
12,10
13,10
20,10
21,10
7,9
8,9
13,9
14,9
15,9
19,9
20,9
7,8
8,8
9,8
17,8
18,8
19,8
8,7
9,7
10,7
14,7
15,7
16,7
17,7
18,7
9,6
10,6
11,6
12,6
13,6
14,6
15,6
16,6
17,6
11,5
12,5
13,5
14,5
15,5
