12,24
13,24
14,24
15,24
9,23
10,23
11,23
12,23
13,23
14,23
15,23
16,23
8,22
9,22
10,22
11,22
12,22
13,22
14,22
15,22
16,22
8,21
9,21
10,21
15,21
16,21
17,21
8,20
9,20
15,20
16,20
14,19
15,19
16,19
14,18
15,18
16,18
13,17
14,17
15,17
13,16
14,16
15,16
11,15
12,15
13,15
14,15
11,14
12,14
13,14
10,13
11,13
12,13
13,13
10,12
11,12
12,12
9,11
10,11
11,11
12,11
8,10
9,10
10,10
11,10
8,9
9,9
10,9
8,8
9,8
10,8
22,8
23,8
24,8
25,8
8,7
9,7
10,7
11,7
12,7
13,7
14,7
15,7
16,7
17,7
18,7
19,7
20,7
21,7
22,7
23,7
24,7
25,7
8,6
9,6
10,6
11,6
12,6
13,6
14,6
15,6
16,6
17,6
18,6
19,6
20,6
21,6
22,6
23,6
13,5
14,5
15,5
16,5
17,5
